"OBJECTIDC","OBJECTVERSIONC","LASTUSERC","UPDATETIMEC","NUM_DECIMAL_DIGITS","TEXT_DE","TEXT_EN","TEXT_ES","START_DATE","END_DATE","FXTYPE"
"JOD",1,"Stich.L",03.01.11 08:51:13,3,"Jordan-Dinar","Jordanian Dinar","Dinar jordano",01.01.70 00:00:00,,"D"
"SZL",0,"sysadmin",01.01.70 00:00:00,2,"Lilangeni","Lilangeni","Lilangeni suazi (de Suazilandia)",01.01.70 00:00:00,,"D"
"LAK",0,"sysadmin",01.01.70 00:00:00,2,"Kip","Kip","Kip lao",01.01.70 00:00:00,,"M"
"EEK",1,"hiltl",30.12.10 12:12:39,2,"Estnische Krone","Estonian Kroon","Corona estonia",01.01.70 00:00:00,31.12.10 00:00:00,"D"
"NPR",0,"sysadmin",01.01.70 00:00:00,2,"Nepalesische Rupie","Nepalese Rupee","Rupia nepalesa",01.01.70 00:00:00,,"M"
"AMD",0,"sysadmin",01.01.70 00:00:00,2,"Dram","Armenian Dram","Dram armenio",01.01.70 00:00:00,,"M"
"XPF",0,"sysadmin",01.01.70 00:00:00,0,"CFP-Franc (Neukaledonien)","CFP-Franc","Franco CFP",01.01.70 00:00:00,,"M"
"MRO",0,"sysadmin",01.01.70 00:00:00,2,"Ouguiya","Ouguiya","Ouguiya mauritana",01.01.70 00:00:00,,"M"
"BAM",0,"sysadmin",01.01.70 00:00:00,2,"Konvertible Mark","Convertible Mark","marco convertible de Bosnia-Herzegovina",01.01.70 00:00:00,,"M"
"NZD",0,"sysadmin",01.01.70 00:00:00,2,"Neuseeland-Dollar","New Zealand Dollar","Dólar neozelandés",01.01.70 00:00:00,,"D"
"LTL",1,"0;?rbi8p]0",06.03.15 08:15:48,2,"Litas","Lithuania Litas","Litas lituano",01.01.70 00:00:00,05.03.15 00:00:00,"D"
"GTQ",0,"sysadmin",01.01.70 00:00:00,2,"Quetzal","Quetzal","Quetzal guatemalteco",01.01.70 00:00:00,,"D"
"PLN",0,"sysadmin",01.01.70 00:00:00,2,"Zloty","Zloty","zloty polaco",01.01.70 00:00:00,,"D"
"TND",0,"sysadmin",01.01.70 00:00:00,3,"Tunesischer Dinar","Tunisian Dinar","Dinar tunecino",01.01.70 00:00:00,,"D"
"HRK",0,"sysadmin",01.01.70 00:00:00,2,"Kuna","Croatian Kuna","Kuna croata",01.01.70 00:00:00,,"D"
"BTN",0,"sysadmin",01.01.70 00:00:00,2,"Ngultrum","Ngultrum","Ngultrum de Bután",01.01.70 00:00:00,,"M"
"DZD",1,"0;BaL8qjtI",17.02.11 16:18:46,2,"Algerischer Dinar","Algerian Dinar","Dinar algerino",01.01.70 00:00:00,,"D"
